Id,Universidad,Link,Link Transparencia,Presupuesto,,,,Fuente1,Fuente 2
,,,,Salud,Educación y Cultura,Ciencia y Técnica,Total,,
42,PATAGONIA,www.unp.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
43,PATAGONIA AUSTRAL,www.unpa.edu.ar,,0,1833195246,5585019,1838780265,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
44,PEDAGOGICA NACIONAL,www.unipe.edu.ar,,0,324861512,763382,325624894,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
45,PROV. EZEIZA,http://upe.edu.ar/,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
46,PROVINCIAL DE CÓRDOBA,https://upc.cba.gov.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
47,QUILMES,www.unq.edu.ar,,0,1588043592,5208903,1593252495,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
48,RAFAELA,https://www.unraf.edu.ar/,,0,257868849,732259,258601108,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
49,RIO CUARTO,www.unrc.edu.ar,,0,2809857033,13479278,2823336311,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
50,RIO NEGRO,www.unrn.edu.ar,,4707605,1648024841,5092001,1657824447,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
51,ROSARIO,www.unr.edu.ar,,76383291,9528100724,29541948,9634025963,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
52,SALTA,www.unsa.edu.ar,,0,3223266672,12129829,3235396501,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
53,SAN ANTONIO DE ARECO,https://www.unsada.edu.ar/,,0,202783035,724962,203507997,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
54,SAN JUAN,www.unsj.edu.ar,,0,5336044982,18039089,5354084071,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
55,SAN LUIS,www.unsl.edu.ar,,0,3420779292,14067789,3434847081,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
56,SAN MARTÍN,www.unsam.edu.ar,,0,2418585964,6781589,2425367553,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
57,SANTIAGO DEL ESTERO,www.unse.edu.ar,,13410309,1935120151,7237303,1955767763,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
58,SCALABRINI ORTIZ,https://unso.edu.ar/,,0,104338622,725071,105063693,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
59,SUDOESTE,www.upso.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
60,SUR,www.uns.edu.ar,,17195241,3684046847,14499716,3715741804,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
61,TECNOLÓGICA,www.utn.edu.ar,,0,1.22E+14,30222646,1.23E+14,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
62,TIERRA DEL FUEGO,www.untdf.edu.ar,,0,811697319,763528,812460847,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
63,TRES DE FEBRERO,www.untref.edu.ar,,0,1383470311,4448187,1387918498,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
64,TUCUMÁN,www.unt.edu.ar,,35660993,8916367537,32043569,8984072099,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
65,VILLA MARÍA,www.unvm.edu.ar,,12524341,1095934308,3987704,1112446353,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
66,VILLA MERCEDES,http://www.unvime.edu.ar/,,0,350410585,732259,351142844,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
